Cell 21,Cell 26,Cell 34,Cell 39,Cell 42
1.59034,1.68626,1.55217,1.66763,1.63118
1.57046,1.64216,1.59494,1.6663,1.64275
1.57319,1.64461,1.59411,1.66792,1.64649
1.57182,1.64241,1.61033,1.68194,1.65543
1.59953,1.69017,1.55256,1.67193,1.67376
1.58671,1.67051,1.60484,1.70456,1.68808
1.58942,1.67755,1.61903,1.72578,1.70523
1.60487,1.70311,1.61414,1.74645,1.73559
1.61312,1.71123,1.63993,1.78037,1.76802
1.63329,1.73589,1.63317,1.79827,1.80019
1.64977,1.74656,1.63837,1.81413,1.8276
1.66816,1.75428,1.63248,1.81596,1.84682
1.68406,1.75621,1.62688,1.81229,1.85985
1.69585,1.75365,1.6213,1.80416,1.86635
1.70295,1.74826,1.61925,1.79671,1.86922
1.70596,1.7437,1.62257,1.79548,1.87238
1.70819,1.74149,1.62239,1.79308,1.87392
1.70908,1.73853,1.61966,1.78739,1.87201
1.70682,1.73363,1.61717,1.78,1.86616
1.70359,1.72652,1.61201,1.76774,1.85597
1.69845,1.71525,1.60546,1.74991,1.84018
1.69081,1.6983,1.59793,1.72543,1.81743
1.67822,1.6754,1.59527,1.69988,1.78809
1.66329,1.65302,1.59204,1.67426,1.7532
1.64788,1.63339,1.59029,1.65288,1.71538
1.63849,1.6212,1.57796,1.62836,1.6822
1.59524,1.54426,1.66626,1.63972,1.65547
1.63235,1.63427,1.6127,1.67617,1.5843
1.61861,1.58531,1.58599,1.6005,1.62565
1.61855,1.58237,1.57464,1.58622,1.63006
1.61945,1.58517,1.57531,1.58968,1.63195
1.60968,1.54369,1.58445,1.55735,1.66342
1.64941,1.60228,1.53579,1.56727,1.64216
1.64809,1.56045,1.56888,1.55853,1.64538
1.66761,1.53932,1.56042,1.52894,1.63669
1.6859,1.50814,1.55015,1.4875,1.62464
1.71216,1.48185,1.51397,1.42502,1.60694
1.70524,1.40778,1.56074,1.39773,1.57643
1.72742,1.39945,1.51324,1.3419,1.56073
1.74392,1.37703,1.48066,1.28689,1.53574
1.74386,1.33868,1.48796,1.25584,1.51388
1.74254,1.32321,1.49315,1.24556,1.50648
1.73591,1.31867,1.50604,1.25391,1.50739
1.72225,1.3257,1.52758,1.28248,1.51623
1.71129,1.35015,1.53544,1.31479,1.52936
1.69427,1.3805,1.54952,1.35922,1.5452
1.68478,1.44682,1.52953,1.40555,1.56368
1.6648,1.47972,1.54061,1.44954,1.57557
1.6461,1.48337,1.56564,1.47822,1.57889
1.68079,1.55916,1.44909,1.43746,1.59165
1.62014,1.46682,1.57787,1.47389,1.60664
1.68978,1.61879,1.45209,1.50008,1.55505
1.62666,1.51754,1.55851,1.50525,1.58974
1.66367,1.60044,1.50985,1.53949,1.54608
1.5842,1.44622,1.64788,1.52331,1.58421
